data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pe³ny numer tabeli
;bat (Tajlandia);dolar amerykañski;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Wêgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duñska;korona islandzka;korona norweska;korona szwedzka;kuna (Chorwacja);lej rumuñski;lew (Bu³garia);lira turecka;nowy izraelski szekel;peso chilijskie;peso filipiñskie;peso meksykañskie;rand (Republika Po³udniowej Afryki);real (Brazylia);ringgit (Malezja);rubel rosyjski;rupia indonezyjska;rupia indyjska;won po³udniowokoreañski;yuan renminbi (Chiny);SDR (MFW);;
20181213;0,1153;3,7739;2,7296;0,4832;2,826;2,5937;2,7534;4,2937;1,3272;3,8036;4,7787;0,1357;3,3257;0,1662;0,5753;3,0626;0,4415;0,4163;0,5808;0,9239;2,1953;0,6995;1,005;0,5565;0,0717;0,1878;0,2671;0,9788;0,9028;0,0569;2,6031;5,2641;0,3354;0,5488;5,2272;242;242/A/NBP/2018
20181214;0,1162;3,8095;2,7276;0,4873;2,8439;2,5852;2,7683;4,3021;1,3287;3,8202;4,794;0,1366;3,3558;0,1669;0,5763;3,0642;0,4421;0,4185;0,5821;0,9248;2,1997;0,7079;1,0102;0,5584;0,0718;0,1861;0,2648;0,979;0,9102;0,0573;2,6119;5,3021;0,3359;0,5519;5,2367;243;243/A/NBP/2018
20181217;0,1155;3,7871;2,7194;0,4847;2,8309;2,5804;2,7549;4,2906;1,3265;3,8025;4,7718;0,1358;3,3413;0,1663;0,5747;3,0779;0,4393;0,4172;0,5802;0,9217;2,1938;0,7042;1,003;0,5539;0,0715;0,1881;0,2646;0,9668;0,9058;0,057;2,5984;5,2872;0,3348;0,549;5,243;244;244/A/NBP/2018
20181218;0,115;3,7668;2,7102;0,4817;2,8109;2,5883;2,7469;4,2853;1,3253;3,7989;4,7654;0,1354;3,3513;0,1662;0,5739;3,0785;0,4336;0,4168;0,5787;0,9219;2,1911;0,7038;1,0014;0,5473;0,0709;0,1877;0,2634;0,966;0,9017;0,0565;2,5978;5,3214;0,3334;0,5461;5,2246;245;245/A/NBP/2018
20181219;0,115;3,7619;2,7077;0,4808;2,7935;2,5825;2,7476;4,2846;1,3287;3,7875;4,7607;0,1359;3,3484;0,1664;0,5737;3,0824;0,4329;0,4153;0,5775;0,9201;2,1907;0,7031;1,0008;0,5452;0,0708;0,1867;0,2628;0,9616;0,9002;0,056;2,6048;5,3431;0,334;0,5456;5,2191;246;246/A/NBP/2018
20181220;0,1142;3,7331;2,6652;0,4769;2,7742;2,5297;2,7284;4,2849;1,3309;3,7797;4,7357;0,1354;3,3413;0,1663;0,5738;3,1299;0,432;0,4172;0,5771;0,9194;2,1909;0,711;0,9951;0,5404;0,0703;0,1878;0,262;0,9578;0,8935;0,0554;2,5799;5,3325;0,3326;0,5419;5,206;247;247/A/NBP/2018
20181221;0,1149;3,7528;2,6567;0,4794;2,7739;2,5259;2,7389;4,2889;1,3326;3,7916;4,753;0,1369;3,3762;0,1661;0,5743;3,1513;0,4319;0,4165;0,5781;0,9221;2,1929;0,7058;0,9946;0,5429;0,0707;0,188;0,2593;0,9767;0,8976;0,055;2,5784;5,3408;0,3339;0,5434;5,2031;248;248/A/NBP/2018
20181224;0,1154;3,7588;2,6535;0,48;2,7684;2,5319;2,7367;4,2832;1,3315;3,7777;4,7544;0,1373;3,3839;0,1655;0,5736;3,2156;0,429;0,4143;0,577;0,923;2,19;0,7081;0,9949;0,542;0,0709;0,189;0,2581;0,9628;0,8983;0,0549;2,5825;5,3715;0,3342;0,5448;5,2062;249;249/A/NBP/2018
20181227;0,1155;3,7616;2,6463;0,4804;2,7596;2,5218;2,7394;4,286;1,3344;3,7938;4,7493;0,1369;3,3916;0,1656;0,574;3,2226;0,4295;0,4163;0,5783;0,9221;2,1914;0,7103;0,9974;0,5423;0,0713;0,1885;0,2585;0,9596;0,9025;0,0543;2,5835;5,3521;0,3355;0,5478;5,2096;250;250/A/NBP/2018
20181228;0,1153;3,755;2,645;0,4795;2,7596;2,5149;2,7455;4,2969;1,3365;3,8115;4,748;0,1355;3,4008;0,1666;0,5754;3,2259;0,4296;0,419;0,5798;0,9222;2,1969;0,7117;0,9959;0,5386;0,0713;0,1907;0,2598;0,9694;0,9043;0,054;2,579;5,3644;0,3364;0,5466;5,2372;251;251/A/NBP/2018
20181231;0,1161;3,7597;2,6549;0,4801;2,762;2,523;2,7599;4,3;1,3394;3,8166;4,7895;0,1357;3,4124;0,1673;0,5759;3,2282;0,4325;0,4201;0,5799;0,9229;2,1985;0,7108;1,0008;0,5417;0,0716;0,1915;0,2614;0,9687;0,9098;0,0541;2,6146;5,3875;0,3373;0,5481;5,2212;252;252/A/NBP/2018
